Time,NO_1,NO_2,NO_3,NO_4,NO_5
665,7574,6372,3966,2713,2857
666,7504,6309,3897,2769,2790
667,7435,6213,3739,2806,2773
668,7313,6118,3691,2724,2749
669,7161,6157,3744,2684,2663
670,6929,6157,3702,2644,2649
671,6677,6363,3849,2613,2534
672,6432,5811,3668,2549,2473
673,6291,5679,3586,2481,2396
674,6251,5329,3590,2465,2373
675,6267,5160,3669,2482,2384
676,6337,5178,3586,2564,2367
677,6518,5311,3604,2580,2516
678,7048,5688,3787,2646,2594
679,7654,6141,4192,2787,2712
680,7855,6102,3991,2882,2847
681,7902,6215,4151,2764,2845
682,7873,6447,4087,2834,2824
683,7733,6477,3979,2846,2820
684,7581,6389,4124,2847,2760
685,7445,6346,4141,2846,2727
686,7349,6217,4114,2864,2716
687,7331,6197,4125,2897,2755
688,7568,6209,4350,2884,2751
689,7705,6271,4147,2866,2771
690,7616,6242,4108,2813,2770
691,7501,6142,4132,2780,2754
692,7303,6000,3900,2705,2673
693,7055,5822,3837,2658,2598
694,6847,5716,3810,2639,2544
695,6666,5665,3755,2549,2406
696,6485,5549,3848,2563,2422
697,6384,5464,3380,2558,2333
698,6297,5494,3598,2551,2311
699,6269,5446,3758,2536,2298
700,6277,5482,3930,2567,2284
701,6315,5575,3967,2600,2371
702,6479,5649,4022,2634,2376
703,6705,5791,3934,2636,2443
704,7004,5896,3896,2746,2499
705,7205,6021,3991,2808,2647
706,7335,6047,4053,2886,2686
707,7346,6006,4110,2904,2662
708,7125,5911,4169,2857,2628
709,6978,5810,4100,2828,2564
710,6909,5700,4015,2752,2537
711,7001,5667,3943,2733,2479
712,7159,5786,3966,2779,2570
713,7385,6049,4037,2834,2650
714,7435,6083,4031,2821,2662
715,7338,5982,4036,2827,2594
716,7101,5884,4030,2733,2550
717,6901,5757,3974,2710,2486
718,6710,5607,3847,2670,2456
719,6514,5512,3812,2649,2363
720,6319,5401,3644,2580,2313
721,6243,5308,3613,2511,2284
722,6211,5393,3584,2486,2261
723,6183,5409,3597,2487,2264
724,6146,5435,3578,2502,2307
725,6230,5498,3566,2503,2198
726,6327,5525,3622,2589,2289
727,6533,5602,3755,2618,2345
728,6757,5704,3698,2658,2394
729,7023,5857,3802,2689,2459
730,7157,5964,3901,2745,2519
731,7082,5955,3782,2789,2559
732,6947,5825,3592,2746,2413
