from,to,type,No,voltage,distance
90,136,1,-1,132,36636.7507070866
168,216,1,-1,132,20501.3810437534
62,122,1,-1,132,35786.8160145721
130,211,1,-1,132,43563.2916243066
27,167,1,-1,132,24975.8366232016
28,220,1,-1,132,40590.3521483302
163,164,1,-1,132,32662.8175640126
104,139,1,-1,145,34430.7645613829
120,185,1,-1,145,22214.9040565805
174,213,1,-1,132,37633.9547272045
212,213,1,-1,132,28324.3435744501
40,71,1,-1,132,44735.5315949253
206,207,1,-1,132,28823.7072617829
27,167,1,-1,132,25006.5311294822
138,181,1,-1,132,25186.5320014003
17,21,2,-1,132,17026.6655546887
17,21,2,-1,145,16482.9127120423
74,221,2,-1,250,139387.095914995
74,221,2,-1,250,138724.959908925
74,221,2,-1,350,140094.542833215
